第三階層,年,月,レコード数,日付,ページ パス レベル 3,ページビュー数,ページ別訪問数,年月
dataset-00000004,2016年,05月,1,2016/05/23,/dataset-00000004/,2,2,201605
dataset-00000009,2016年,05月,1,2016/05/23,/dataset-00000009/,2,2,201605
dataset-00000054,2016年,05月,1,2016/05/23,/dataset-00000054,2,2,201605
dataset-00000054,2016年,05月,1,2016/05/23,/dataset-00000054/,2,2,201605
28,2016年,05月,1,2016/05/24,/28,2,2,201605
28,2016年,05月,1,2016/05/24,/28/,2,2,201605
b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0040,2016年,05月,1,2016/05/24,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0040,2,2,201605
dataset-00000006,2016年,05月,1,2016/05/24,/dataset-00000006/,2,2,201605
dataset-00000012,2016年,05月,1,2016/05/24,/dataset-00000012,2,2,201605
dataset-00000015,2016年,05月,1,2016/05/24,/dataset-00000015,2,2,201605
dataset-00000015,2016年,05月,1,2016/05/24,/dataset-00000015/,2,2,201605
dataset-00000019,2016年,05月,1,2016/05/24,/dataset-00000019/,2,2,201605
28,2016年,05月,1,2016/05/25,/28/,2,2,201605
dataset-00000002,2016年,05月,1,2016/05/25,/dataset-00000002/,2,2,201605
dataset-00000004,2016年,05月,1,2016/05/25,/dataset-00000004/,2,2,201605
dataset-00000006,2016年,05月,1,2016/05/25,/dataset-00000006/,2,2,201605
dataset-00000051,2016年,05月,1,2016/05/25,/dataset-00000051,2,2,201605
b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0040,2016年,05月,1,2016/05/26,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0040,2,2,201605
dataset-00000006,2016年,05月,1,2016/05/26,/dataset-00000006/,2,2,201605
dataset-00000007,2016年,05月,1,2016/05/26,/dataset-00000007/,2,2,201605
dataset-00000010,2016年,05月,1,2016/05/26,/dataset-00000010,2,2,201605
dataset-00000011,2016年,05月,1,2016/05/26,/dataset-00000011/,2,2,201605
28,2016年,05月,1,2016/05/27,/28,2,2,201605
28,2016年,05月,1,2016/05/27,/28/,2,2,201605
dataset-00000004,2016年,05月,1,2016/05/27,/dataset-00000004/,2,2,201605
dataset-00000008,2016年,05月,1,2016/05/27,/dataset-00000008/,2,2,201605
dataset-00000015,2016年,05月,1,2016/05/27,/dataset-00000015/,2,2,201605
dataset-00000019,2016年,05月,1,2016/05/27,/dataset-00000019/,2,2,201605
dataset-00000053,2016年,05月,1,2016/05/27,/dataset-00000053/,2,2,201605
dataset-00000054,2016年,05月,1,2016/05/27,/dataset-00000054,2,2,201605
org_0040,2016年,05月,1,2016/05/27,/org_0040,2,2,201605
dataset-00000012,2016年,05月,1,2016/05/29,/dataset-00000012/,2,2,201605
dataset-00000019,2016年,05月,1,2016/05/29,/dataset-00000019,2,2,201605
dataset-00000019,2016年,05月,1,2016/05/29,/dataset-00000019/,2,2,201605
gr_0020,2016年,05月,1,2016/05/29,/gr_0020,2,2,201605
groups,2016年,05月,1,2016/05/29,/groups/,2,2,201605
28,2016年,05月,1,2016/05/30,/28/,2,2,201605
dataset-00000002,2016年,05月,1,2016/05/30,/dataset-00000002/,2,2,201605
dataset-00000009,2016年,05月,1,2016/05/30,/dataset-00000009,2,2,201605
dataset-00000012,2016年,05月,1,2016/05/30,/dataset-00000012/,2,2,201605
dataset-00000019,2016年,05月,1,2016/05/30,/dataset-00000019/,2,2,201605
dataset-00000032,2016年,05月,1,2016/05/30,/dataset-00000032/,2,2,201605
gr_9900,2016年,05月,1,2016/05/30,/gr_9900,2,2,201605
dataset-00000005,2016年,05月,1,2016/05/31,/dataset-00000005,2,2,201605
dataset-00000006,2016年,05月,1,2016/05/31,/dataset-00000006,2,2,201605
dataset-00000006,2016年,05月,1,2016/05/31,/dataset-00000006/,2,2,201605
dataset-00000007,2016年,05月,1,2016/05/31,/dataset-00000007/,2,2,201605
dataset-00000010,2016年,05月,1,2016/05/31,/dataset-00000010/,2,2,201605
dataset-00000012,2016年,05月,1,2016/05/31,/dataset-00000012/,2,2,201605
ea98c354-262b-4cff-a061-477b74f43bcc?groups=gr_0040,2016年,05月,1,2016/05/31,/ea98c354-262b-4cff-a061-477b74f43bcc?groups=gr_0040,2,2,201605
login,2016年,05月,1,2016/05/31,/login,2,2,201605
dataset-00000054,2016年,05月,1,2016/05/01,/dataset-00000054,3,2,201605
dataset-00000002,2016年,05月,1,2016/05/06,/dataset-00000002,3,2,201605
dataset-00000004,2016年,05月,1,2016/05/06,/dataset-00000004,3,2,201605
dataset-00000010,2016年,05月,1,2016/05/07,/dataset-00000010,3,2,201605
dataset-00000011,2016年,05月,1,2016/05/07,/dataset-00000011,3,2,201605
gr_0010,2016年,05月,1,2016/05/08,/gr_0010,3,2,201605
dataset-00000050,2016年,05月,1,2016/05/09,/dataset-00000050,3,2,201605
dataset-00000014,2016年,05月,1,2016/05/10,/dataset-00000014,3,2,201605
dataset-00000044,2016年,05月,1,2016/05/10,/dataset-00000044,3,2,201605
dataset-00000054,2016年,05月,1,2016/05/10,/dataset-00000054,3,2,201605
groups,2016年,05月,1,2016/05/10,/groups/,3,2,201605
groups,2016年,05月,1,2016/05/11,/groups/,3,2,201605
dataset-00000011,2016年,05月,1,2016/05/14,/dataset-00000011,3,2,201605
dataset-00000003,2016年,05月,1,2016/05/15,/dataset-00000003,3,2,201605
dataset-00000052,2016年,05月,1,2016/05/15,/dataset-00000052,3,2,201605
gr_0030,2016年,05月,1,2016/05/15,/gr_0030,3,2,201605
gr_0050,2016年,05月,1,2016/05/15,/gr_0050,3,2,201605
gr_0070,2016年,05月,1,2016/05/15,/gr_0070,3,2,201605
dataset-00000002,2016年,05月,1,2016/05/16,/dataset-00000002,3,2,201605
dataset-00000048,2016年,05月,1,2016/05/16,/dataset-00000048,3,2,201605
dataset-00000053,2016年,05月,1,2016/05/16,/dataset-00000053,3,2,201605
2101c5ea-0a32-4d20-974d-923e0c9e9fe9?organization=org_0160,2016年,05月,1,2016/05/17,/2101c5ea-0a32-4d20-974d-923e0c9e9fe9?organization=org_0160,3,2,201605
activity,2016年,05月,1,2016/05/17,/activity/,3,2,201605
dataset-00000010,2016年,05月,1,2016/05/17,/dataset-00000010,3,2,201605
dataset-00000003,2016年,05月,1,2016/05/19,/dataset-00000003,3,2,201605
dataset-00000007,2016年,05月,1,2016/05/19,/dataset-00000007,3,2,201605
dataset-00000005,2016年,05月,1,2016/05/20,/dataset-00000005,3,2,201605
dataset-00000009,2016年,05月,1,2016/05/20,/dataset-00000009,3,2,201605
gr_0010,2016年,05月,1,2016/05/21,/gr_0010,3,2,201605
dataset-00000052,2016年,05月,1,2016/05/22,/dataset-00000052/,3,2,201605
dataset-00000002,2016年,05月,1,2016/05/23,/dataset-00000002,3,2,201605
dataset-00000004,2016年,05月,1,2016/05/23,/dataset-00000004,3,2,201605
dataset-00000012,2016年,05月,1,2016/05/23,/dataset-00000012,3,2,201605
dataset-00000014,2016年,05月,1,2016/05/23,/dataset-00000014,3,2,201605
gr_0020?page=2,2016年,05月,1,2016/05/23,/gr_0020?page=2,3,2,201605
org_0040,2016年,05月,1,2016/05/23,/org_0040,3,2,201605
dataset-00000011,2016年,05月,1,2016/05/26,/dataset-00000011,3,2,201605
dataset-00000004,2016年,05月,1,2016/05/27,/dataset-00000004,3,2,201605
dataset-00000008,2016年,05月,1,2016/05/27,/dataset-00000008,3,2,201605
dataset-00000015,2016年,05月,1,2016/05/27,/dataset-00000015,3,2,201605
gr_0050,2016年,05月,1,2016/05/28,/gr_0050,3,2,201605
dataset-00000007,2016年,05月,1,2016/05/29,/dataset-00000007,3,2,201605
dataset-00000012,2016年,05月,1,2016/05/29,/dataset-00000012,3,2,201605
dataset-00000051,2016年,05月,1,2016/05/31,/dataset-00000051,3,2,201605
org_0010,2016年,05月,1,2016/05/31,/org_0010,3,2,201605
dataset-00000012,2016年,05月,1,2016/05/02,/dataset-00000012,4,2,201605
dataset-00000009,2016年,05月,1,2016/05/04,/dataset-00000009/,4,2,201605
dataset-00000019,2016年,05月,1,2016/05/04,/dataset-00000019,4,2,201605
gr_0010,2016年,05月,1,2016/05/04,/gr_0010,4,2,201605
dataset-00000009,2016年,05月,1,2016/05/09,/dataset-00000009/,4,2,201605
dataset-00000009,2016年,05月,1,2016/05/10,/dataset-00000009,4,2,201605
gr_9900,2016年,05月,1,2016/05/10,/gr_9900,4,2,201605
dataset-00000006,2016年,05月,1,2016/05/11,/dataset-00000006,4,2,201605
login,2016年,05月,1,2016/05/11,/login,4,2,201605
dataset-00000008,2016年,05月,1,2016/05/13,/dataset-00000008,4,2,201605
dataset-00000036,2016年,05月,1,2016/05/13,/dataset-00000036/,4,2,201605
dataset-00000048,2016年,05月,1,2016/05/13,/dataset-00000048,4,2,201605
dataset-00000011,2016年,05月,1,2016/05/14,/dataset-00000011/,4,2,201605
dataset-00000020,2016年,05月,1,2016/05/14,/dataset-00000020/,4,2,201605
gr_0060,2016年,05月,1,2016/05/14,/gr_0060,4,2,201605
dataset-00000054,2016年,05月,1,2016/05/15,/dataset-00000054/,4,2,201605
dataset-00000004,2016年,05月,1,2016/05/16,/dataset-00000004,4,2,201605
dataset-00000004,2016年,05月,1,2016/05/16,/dataset-00000004/,4,2,201605
dataset-00000006,2016年,05月,1,2016/05/17,/dataset-00000006,4,2,201605
dataset-00000048,2016年,05月,1,2016/05/17,/dataset-00000048,4,2,201605
gr_0020?page=2,2016年,05月,1,2016/05/17,/gr_0020?page=2,4,2,201605
dataset-00000005,2016年,05月,1,2016/05/18,/dataset-00000005/,4,2,201605
dataset-00000010,2016年,05月,1,2016/05/18,/dataset-00000010,4,2,201605
dataset-00000019,2016年,05月,1,2016/05/18,/dataset-00000019/,4,2,201605
new_resource,2016年,05月,1,2016/05/20,/new_resource/,4,2,201605
org_0010,2016年,05月,1,2016/05/23,/org_0010,4,2,201605
dataset-00000012,2016年,05月,1,2016/05/25,/dataset-00000012,4,2,201605
dataset-00000021,2016年,05月,1,2016/05/25,/dataset-00000021/,4,2,201605
dataset-00000004,2016年,05月,1,2016/05/26,/dataset-00000004,4,2,201605
dataset-00000012,2016年,05月,1,2016/05/26,/dataset-00000012/,4,2,201605
dataset-00000054,2016年,05月,1,2016/05/26,/dataset-00000054,4,2,201605
dataset-00000003,2016年,05月,1,2016/05/27,/dataset-00000003,4,2,201605
dataset-00000010,2016年,05月,1,2016/05/27,/dataset-00000010/,4,2,201605
dataset-00000006,2016年,05月,1,2016/05/29,/dataset-00000006/,4,2,201605
gr_0010,2016年,05月,1,2016/05/29,/gr_0010,4,2,201605
dataset-00000054,2016年,05月,1,2016/05/15,/dataset-00000054,5,2,201605
dataset-00000011,2016年,05月,1,2016/05/18,/dataset-00000011,5,2,201605
dataset-00000018,2016年,05月,1,2016/05/19,/dataset-00000018,5,2,201605
new,2016年,05月,1,2016/05/19,/new,5,2,201605
dataset-00000006,2016年,05月,1,2016/05/20,/dataset-00000006,5,2,201605
dataset-00000020,2016年,05月,1,2016/05/20,/dataset-00000020,5,2,201605
resources,2016年,05月,1,2016/05/20,/resources/,5,2,201605
dataset-00000006,2016年,05月,1,2016/05/23,/dataset-00000006,5,2,201605
dataset-00000007,2016年,05月,1,2016/05/25,/dataset-00000007,5,2,201605
dataset-00000009,2016年,05月,1,2016/05/03,/dataset-00000009/,6,2,201605
dataset-00000002,2016年,05月,1,2016/05/07,/dataset-00000002/,6,2,201605
b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0040,2016年,05月,1,2016/05/09,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0040,6,2,201605
dataset-00000045,2016年,05月,1,2016/05/12,/dataset-00000045,6,2,201605
dataset-00000009,2016年,05月,1,2016/05/16,/dataset-00000009/,6,2,201605
dataset-00000010,2016年,05月,1,2016/05/26,/dataset-00000010/,6,2,201605
dataset-00000005,2016年,05月,1,2016/05/31,/dataset-00000005/,6,2,201605
dataset-00000007,2016年,05月,1,2016/05/01,/dataset-00000007/,8,2,201605
dataset-00000006,2016年,05月,1,2016/05/20,/dataset-00000006/,8,2,201605
gr_0080,2016年,05月,1,2016/05/15,/gr_0080,10,2,201605
new_resource,2016年,05月,1,2016/05/19,/new_resource/,16,2,201605
gr_0030,2016年,05月,1,2016/05/01,/gr_0030,3,3,201605
gr_0040,2016年,05月,1,2016/05/01,/gr_0040,3,3,201605
gr_0060,2016年,05月,1,2016/05/01,/gr_0060,3,3,201605
dataset-00000052,2016年,05月,1,2016/05/02,/dataset-00000052,3,3,201605
gr_0030,2016年,05月,1,2016/05/05,/gr_0030,3,3,201605
gr_0040,2016年,05月,1,2016/05/05,/gr_0040,3,3,201605
dataset-00000048,2016年,05月,1,2016/05/06,/dataset-00000048/,3,3,201605
dataset-00000053,2016年,05月,1,2016/05/06,/dataset-00000053/,3,3,201605
gr_0010,2016年,05月,1,2016/05/07,/gr_0010,3,3,201605
gr_0020,2016年,05月,1,2016/05/07,/gr_0020,3,3,201605
dataset-00000053,2016年,05月,1,2016/05/08,/dataset-00000053/,3,3,201605
dataset-00000051,2016年,05月,1,2016/05/10,/dataset-00000051,3,3,201605
about,2016年,05月,1,2016/05/11,/about/,3,3,201605
dataset-00000045,2016年,05月,1,2016/05/11,/dataset-00000045/,3,3,201605
dataset-00000008,2016年,05月,1,2016/05/12,/dataset-00000008,3,3,201605
dataset-00000014,2016年,05月,1,2016/05/12,/dataset-00000014/,3,3,201605
dataset-00000007,2016年,05月,1,2016/05/14,/dataset-00000007,3,3,201605
dataset-00000049,2016年,05月,1,2016/05/14,/dataset-00000049/,3,3,201605
dataset-00000006,2016年,05月,1,2016/05/16,/dataset-00000006,3,3,201605
dataset-00000005,2016年,05月,1,2016/05/17,/dataset-00000005,3,3,201605
dataset-00000008,2016年,05月,1,2016/05/23,/dataset-00000008,3,3,201605
dataset-00000053,2016年,05月,1,2016/05/24,/dataset-00000053/,3,3,201605
dataset-00000054,2016年,05月,1,2016/05/25,/dataset-00000054,3,3,201605
gr_0020?page=2,2016年,05月,1,2016/05/26,/gr_0020?page=2,3,3,201605
dataset-00000010,2016年,05月,1,2016/05/30,/dataset-00000010,3,3,201605
admin,2016年,05月,1,2016/05/31,/admin,3,3,201605
dataset-00000051,2016年,05月,1,2016/05/03,/dataset-00000051,4,3,201605
gr_0020,2016年,05月,1,2016/05/03,/gr_0020,4,3,201605
gr_0040,2016年,05月,1,2016/05/07,/gr_0040,4,3,201605
gr_0050,2016年,05月,1,2016/05/08,/gr_0050,4,3,201605
dataset-00000002,2016年,05月,1,2016/05/10,/dataset-00000002,4,3,201605
dataset-00000011,2016年,05月,1,2016/05/10,/dataset-00000011,4,3,201605
activity,2016年,05月,1,2016/05/11,/activity/,4,3,201605
dataset-00000013,2016年,05月,1,2016/05/12,/dataset-00000013,4,3,201605
dataset-00000051,2016年,05月,1,2016/05/12,/dataset-00000051/,4,3,201605
dataset-00000002,2016年,05月,1,2016/05/13,/dataset-00000002,4,3,201605
dataset-00000009,2016年,05月,1,2016/05/13,/dataset-00000009,4,3,201605
activity,2016年,05月,1,2016/05/15,/activity/,4,3,201605
dataset-00000006,2016年,05月,1,2016/05/15,/dataset-00000006,4,3,201605
gr_0040,2016年,05月,1,2016/05/15,/gr_0040,4,3,201605
gr_0060,2016年,05月,1,2016/05/15,/gr_0060,4,3,201605
dataset-00000020,2016年,05月,1,2016/05/17,/dataset-00000020,4,3,201605
gr_0060,2016年,05月,1,2016/05/18,/gr_0060,4,3,201605
dataset-00000007,2016年,05月,1,2016/05/20,/dataset-00000007,4,3,201605
dataset-00000012,2016年,05月,1,2016/05/20,/dataset-00000012,4,3,201605
dataset-00000054,2016年,05月,1,2016/05/20,/dataset-00000054,4,3,201605
activity,2016年,05月,1,2016/05/23,/activity/,4,3,201605
dataset-00000010,2016年,05月,1,2016/05/23,/dataset-00000010,4,3,201605
dataset-00000051,2016年,05月,1,2016/05/23,/dataset-00000051,4,3,201605
dataset-00000010,2016年,05月,1,2016/05/24,/dataset-00000010,4,3,201605
gr_0020?page=2,2016年,05月,1,2016/05/24,/gr_0020?page=2,4,3,201605
gr_0050,2016年,05月,1,2016/05/24,/gr_0050,4,3,201605
gr_0070,2016年,05月,1,2016/05/24,/gr_0070,4,3,201605
dataset-00000010,2016年,05月,1,2016/05/27,/dataset-00000010,4,3,201605
dataset-00000047,2016年,05月,1,2016/05/29,/dataset-00000047/,4,3,201605
gr_0060,2016年,05月,1,2016/05/31,/gr_0060,4,3,201605
gr_0050,2016年,05月,1,2016/05/01,/gr_0050,5,3,201605
dataset-00000053,2016年,05月,1,2016/05/02,/dataset-00000053/,5,3,201605
dataset-00000011,2016年,05月,1,2016/05/03,/dataset-00000011/,5,3,201605
gr_0060,2016年,05月,1,2016/05/03,/gr_0060,5,3,201605
dataset-00000009,2016年,05月,1,2016/05/09,/dataset-00000009,5,3,201605
dataset-00000053,2016年,05月,1,2016/05/09,/dataset-00000053,5,3,201605
dataset-00000053,2016年,05月,1,2016/05/09,/dataset-00000053/,5,3,201605
dataset-00000006,2016年,05月,1,2016/05/10,/dataset-00000006,5,3,201605
dataset-00000007,2016年,05月,1,2016/05/10,/dataset-00000007,5,3,201605
dataset-00000004,2016年,05月,1,2016/05/11,/dataset-00000004,5,3,201605
dataset-00000005,2016年,05月,1,2016/05/11,/dataset-00000005,5,3,201605
dataset-00000014,2016年,05月,1,2016/05/12,/dataset-00000014,5,3,201605
dataset-00000051,2016年,05月,1,2016/05/12,/dataset-00000051,5,3,201605
dataset-00000053,2016年,05月,1,2016/05/12,/dataset-00000053,5,3,201605
dataset-00000010,2016年,05月,1,2016/05/13,/dataset-00000010,5,3,201605
dataset-00000009,2016年,05月,1,2016/05/17,/dataset-00000009,5,3,201605
dataset-00000011,2016年,05月,1,2016/05/17,/dataset-00000011,5,3,201605
dataset-00000045,2016年,05月,1,2016/05/18,/dataset-00000045,5,3,201605
dataset-00000011,2016年,05月,1,2016/05/24,/dataset-00000011,5,3,201605
gr_0050,2016年,05月,1,2016/05/29,/gr_0050,5,3,201605
gr_0080,2016年,05月,1,2016/05/31,/gr_0080,5,3,201605
gr_0020,2016年,05月,1,2016/05/01,/gr_0020,6,3,201605
dataset-00000045,2016年,05月,1,2016/05/12,/dataset-00000045/,6,3,201605
dataset-00000005,2016年,05月,1,2016/05/13,/dataset-00000005,6,3,201605
gr_0040,2016年,05月,1,2016/05/14,/gr_0040,6,3,201605
dataset-00000011,2016年,05月,1,2016/05/31,/dataset-00000011,6,3,201605
dataset-00000054,2016年,05月,1,2016/05/06,/dataset-00000054,7,3,201605
dataset-00000010,2016年,05月,1,2016/05/08,/dataset-00000010,7,3,201605
gr_0060,2016年,05月,1,2016/05/08,/gr_0060,7,3,201605
gr_0020,2016年,05月,1,2016/05/14,/gr_0020,7,3,201605
dataset-00000007,2016年,05月,1,2016/05/16,/dataset-00000007,7,3,201605
dataset-00000009,2016年,05月,1,2016/05/16,/dataset-00000009,7,3,201605
dataset-00000054,2016年,05月,1,2016/05/16,/dataset-00000054,7,3,201605
dataset-00000008,2016年,05月,1,2016/05/11,/dataset-00000008,11,3,201605
dataset-00000006,2016年,05月,1,2016/05/01,/dataset-00000006/,4,4,201605
dataset-00000012,2016年,05月,1,2016/05/01,/dataset-00000012/,4,4,201605
dataset-00000009,2016年,05月,1,2016/05/02,/dataset-00000009/,4,4,201605
dataset-00000051,2016年,05月,1,2016/05/02,/dataset-00000051,4,4,201605
dataset-00000019,2016年,05月,1,2016/05/04,/dataset-00000019/,4,4,201605
activity,2016年,05月,1,2016/05/06,/activity/,4,4,201605
dataset-00000002,2016年,05月,1,2016/05/06,/dataset-00000002/,4,4,201605
dataset-00000007,2016年,05月,1,2016/05/07,/dataset-00000007/,4,4,201605
dataset-00000010,2016年,05月,1,2016/05/08,/dataset-00000010/,4,4,201605
gr_0040,2016年,05月,1,2016/05/08,/gr_0040,4,4,201605
dataset-00000007,2016年,05月,1,2016/05/09,/dataset-00000007/,4,4,201605
dataset-00000010,2016年,05月,1,2016/05/09,/dataset-00000010/,4,4,201605
dataset-00000012,2016年,05月,1,2016/05/09,/dataset-00000012/,4,4,201605
kanko,2016年,05月,1,2016/05/09,/kanko/,4,4,201605
dataset-00000006,2016年,05月,1,2016/05/10,/dataset-00000006/,4,4,201605
dataset-00000005,2016年,05月,1,2016/05/11,/dataset-00000005/,4,4,201605
dataset-00000009,2016年,05月,1,2016/05/12,/dataset-00000009,4,4,201605
dataset-00000012,2016年,05月,1,2016/05/13,/dataset-00000012/,4,4,201605
gr_0020?page=2,2016年,05月,1,2016/05/13,/gr_0020?page=2,4,4,201605
gr_0030,2016年,05月,1,2016/05/14,/gr_0030,4,4,201605
dataset-00000048,2016年,05月,1,2016/05/16,/dataset-00000048/,4,4,201605
dataset-00000006,2016年,05月,1,2016/05/17,/dataset-00000006/,4,4,201605
dataset-00000009,2016年,05月,1,2016/05/17,/dataset-00000009/,4,4,201605
dataset-00000011,2016年,05月,1,2016/05/17,/dataset-00000011/,4,4,201605
dataset-00000054,2016年,05月,1,2016/05/17,/dataset-00000054/,4,4,201605
gr_0070,2016年,05月,1,2016/05/17,/gr_0070,4,4,201605
dataset-00000010,2016年,05月,1,2016/05/18,/dataset-00000010/,4,4,201605
dataset-00000011,2016年,05月,1,2016/05/18,/dataset-00000011/,4,4,201605
dataset-00000007,2016年,05月,1,2016/05/19,/dataset-00000007/,4,4,201605
dataset-00000018,2016年,05月,1,2016/05/19,/dataset-00000018/,4,4,201605
dataset-00000019,2016年,05月,1,2016/05/19,/dataset-00000019,4,4,201605
gr_0070,2016年,05月,1,2016/05/19,/gr_0070,4,4,201605
dataset-00000019,2016年,05月,1,2016/05/23,/dataset-00000019/,4,4,201605
dataset-00000011,2016年,05月,1,2016/05/24,/dataset-00000011/,4,4,201605
dataset-00000010,2016年,05月,1,2016/05/25,/dataset-00000010,4,4,201605
dataset-00000004,2016年,05月,1,2016/05/26,/dataset-00000004/,4,4,201605
dataset-00000054,2016年,05月,1,2016/05/26,/dataset-00000054/,4,4,201605
dataset-00000006,2016年,05月,1,2016/05/27,/dataset-00000006/,4,4,201605
dataset-00000007,2016年,05月,1,2016/05/27,/dataset-00000007,4,4,201605
dataset-00000054,2016年,05月,1,2016/05/27,/dataset-00000054/,4,4,201605
dataset-00000007,2016年,05月,1,2016/05/29,/dataset-00000007/,4,4,201605
dataset-00000007,2016年,05月,1,2016/05/30,/dataset-00000007/,4,4,201605
dataset-00000010,2016年,05月,1,2016/05/30,/dataset-00000010/,4,4,201605
gr_0080,2016年,05月,1,2016/05/30,/gr_0080,4,4,201605
28,2016年,05月,1,2016/05/31,/28/,4,4,201605
dataset-00000002,2016年,05月,1,2016/05/31,/dataset-00000002/,4,4,201605
gr_0070,2016年,05月,1,2016/05/31,/gr_0070,4,4,201605
dataset-00000009,2016年,05月,1,2016/05/02,/dataset-00000009,5,4,201605
dataset-00000054,2016年,05月,1,2016/05/03,/dataset-00000054/,5,4,201605
gr_0010,2016年,05月,1,2016/05/03,/gr_0010,5,4,201605
gr_0020,2016年,05月,1,2016/05/08,/gr_0020,5,4,201605
dataset-00000010,2016年,05月,1,2016/05/09,/dataset-00000010,5,4,201605
dataset-00000054,2016年,05月,1,2016/05/12,/dataset-00000054,5,4,201605
dataset-00000012,2016年,05月,1,2016/05/13,/dataset-00000012,5,4,201605
about,2016年,05月,1,2016/05/17,/about/,5,4,201605
dataset-00000005,2016年,05月,1,2016/05/19,/dataset-00000005,5,4,201605
dataset-00000019,2016年,05月,1,2016/05/23,/dataset-00000019,5,4,201605
dataset-00000048,2016年,05月,1,2016/05/24,/dataset-00000048/,5,4,201605
dataset-00000011,2016年,05月,1,2016/05/25,/dataset-00000011,5,4,201605
dataset-00000019,2016年,05月,1,2016/05/25,/dataset-00000019,5,4,201605
gr_0040,2016年,05月,1,2016/05/26,/gr_0040,5,4,201605
gr_0050,2016年,05月,1,2016/05/26,/gr_0050,5,4,201605
gr_0030,2016年,05月,1,2016/05/31,/gr_0030,5,4,201605
gr_0050,2016年,05月,1,2016/05/31,/gr_0050,5,4,201605
dataset-00000006,2016年,05月,1,2016/05/02,/dataset-00000006/,6,4,201605
dataset-00000054,2016年,05月,1,2016/05/02,/dataset-00000054,6,4,201605
dataset-00000019,2016年,05月,1,2016/05/03,/dataset-00000019/,6,4,201605
gr_0040,2016年,05月,1,2016/05/03,/gr_0040,6,4,201605
dataset-00000004,2016年,05月,1,2016/05/06,/dataset-00000004/,6,4,201605
dataset-00000007,2016年,05月,1,2016/05/06,/dataset-00000007,6,4,201605
dataset-00000051,2016年,05月,1,2016/05/06,/dataset-00000051,6,4,201605
activity,2016年,05月,1,2016/05/09,/activity/,6,4,201605
groups,2016年,05月,1,2016/05/09,/groups/,6,4,201605
dataset-00000005,2016年,05月,1,2016/05/10,/dataset-00000005/,6,4,201605
dataset-00000012,2016年,05月,1,2016/05/11,/dataset-00000012,6,4,201605
dataset-00000019,2016年,05月,1,2016/05/11,/dataset-00000019,6,4,201605
dataset-00000008,2016年,05月,1,2016/05/13,/dataset-00000008/,6,4,201605
dataset-00000010,2016年,05月,1,2016/05/13,/dataset-00000010/,6,4,201605
gr_0050,2016年,05月,1,2016/05/14,/gr_0050,6,4,201605
dataset-00000011,2016年,05月,1,2016/05/16,/dataset-00000011/,6,4,201605
dataset-00000054,2016年,05月,1,2016/05/16,/dataset-00000054/,6,4,201605
dataset-00000005,2016年,05月,1,2016/05/17,/dataset-00000005/,6,4,201605
dataset-00000050,2016年,05月,1,2016/05/17,/dataset-00000050/,6,4,201605
gr_0080,2016年,05月,1,2016/05/18,/gr_0080,6,4,201605
gr_0080,2016年,05月,1,2016/05/19,/gr_0080,6,4,201605
dataset-00000007,2016年,05月,1,2016/05/23,/dataset-00000007,6,4,201605
dataset-00000010,2016年,05月,1,2016/05/23,/dataset-00000010/,6,4,201605
dataset-00000010,2016年,05月,1,2016/05/24,/dataset-00000010/,6,4,201605
dataset-00000011,2016年,05月,1,2016/05/02,/dataset-00000011,7,4,201605
dataset-00000019,2016年,05月,1,2016/05/08,/dataset-00000019,7,4,201605
dataset-00000002,2016年,05月,1,2016/05/09,/dataset-00000002,7,4,201605
dataset-00000007,2016年,05月,1,2016/05/11,/dataset-00000007,7,4,201605
28,2016年,05月,1,2016/05/23,/28,7,4,201605
28,2016年,05月,1,2016/05/26,/28,7,4,201605
dataset-00000002,2016年,05月,1,2016/05/10,/dataset-00000002/,8,4,201605
dataset-00000054,2016年,05月,1,2016/05/12,/dataset-00000054/,8,4,201605
dataset-00000005,2016年,05月,1,2016/05/13,/dataset-00000005/,8,4,201605
gr_0080,2016年,05月,1,2016/05/14,/gr_0080,8,4,201605
dataset-00000002,2016年,05月,1,2016/05/15,/dataset-00000002/,8,4,201605
dataset-00000010,2016年,05月,1,2016/05/16,/dataset-00000010,8,4,201605
edit,2016年,05月,1,2016/05/20,/edit/,8,4,201605
dataset-00000006,2016年,05月,1,2016/05/09,/dataset-00000006,9,4,201605
dataset-00000004,2016年,05月,1,2016/05/02,/dataset-00000004,10,4,201605
dataset-00000007,2016年,05月,1,2016/05/02,/dataset-00000007,10,4,201605
dataset-00000011,2016年,05月,1,2016/05/30,/dataset-00000011,10,4,201605
dataset-00000005,2016年,05月,1,2016/05/19,/dataset-00000005/,12,4,201605
dataset-00000004,2016年,05月,1,2016/05/02,/dataset-00000004/,14,4,201605
dataset-00000011,2016年,05月,1,2016/05/09,/dataset-00000011,14,4,201605
gr_0070,2016年,05月,1,2016/05/02,/gr_0070,5,5,201605
gr_0030,2016年,05月,1,2016/05/08,/gr_0030,5,5,201605
gr_0070,2016年,05月,1,2016/05/08,/gr_0070,5,5,201605
